('11.08', 'KAB. ACEH UTARA'),
('Syamtalira Bayu', 'Pulo Blang Trieng'),
('Syamtalira Bayu', 'Meudang Ara'),
('Syamtalira Bayu', 'Cot Neuheun'),
('Syamtalira Bayu', 'Tumpeun'),
('Syamtalira Bayu', 'Alen'),
('Syamtalira Bayu', 'Dayah Blang Seureukuy'),
('Syamtalira Bayu', 'Blang Patra'),
('Syamtalira Bayu', 'Blang Majron'),
('Syamtalira Bayu', 'Seuneubok  Baro'),
('Syamtalira Bayu', 'Buket Glumpang'),
('Syamtalira Bayu', 'Alue Majron'),
('Syamtalira Bayu', 'Siren Tujoh'),
('Syamtalira Bayu', 'Blang Seureukuy'),

('Tanah Luas', 'Pulo Blang'),
('Tanah Luas', 'Matang Ben'),
('Tanah Luas', 'Matang Cibrek'),
('Tanah Luas', 'Deng'),
('Tanah Luas', 'Rawa'),
('Tanah Luas', 'Punti Pulo Agam'),
('Tanah Luas', 'Alue Pangkat'),
('Tanah Luas', 'Teungoh Pulo Agam'),
('Tanah Luas', 'Hueng'),
('Tanah Luas', 'Pulo U'),
('Tanah Luas', 'Alue Keujruen'),
('Tanah Luas', 'Paya Beurandang'),
('Tanah Luas', 'Manyang Tunong'),
('Tanah Luas', 'Meunasah  Tutong'),
('Tanah Luas', 'Ampeh'),
('Tanah Luas', 'Alue'),
('Tanah Luas', 'Teungku Dibalee'),
('Tanah Luas', 'Keude Blang Jruen'),
('Tanah Luas', 'Blang Jruen'),
('Tanah Luas', 'Ujong Baroh Berghang'),
('Tanah Luas', 'Jeumpa Berghang'),
('Tanah Luas', 'Teungoh Berghang'),
('Tanah Luas', 'Pante Berghang'),
('Tanah Luas', 'Serba Jaman'),
('Tanah Luas', 'Rayeuk Naleung'),
('Tanah Luas', 'Rangkaya'),
('Tanah Luas', 'Paya'),
('Tanah Luas', 'Blang Bidok'),
('Tanah Luas', 'Rayeuk Kuta'),
('Tanah Luas', 'Rayeuk Munye'),
('Tanah Luas', 'Ujong Baroh SB'),
('Tanah Luas', 'Trieng'),
('Tanah Luas', 'Manyang SB'),
('Tanah Luas', 'Cibrek'),
('Tanah Luas', 'Keutapang'),
('Tanah Luas', 'Matang Mane'),
('Tanah Luas', 'Alue Gampong'),
('Tanah Luas', 'Bayi'),
('Tanah Luas', 'Tumpok Aceh'),
('Tanah Luas', 'Ulee Buket'),
('Tanah Luas', 'Cot Dah'),
('Tanah Luas', 'Leupon Siren'),
('Tanah Luas', 'Blang Trieng'),
('Tanah Luas', 'Alue Sijuek'),
('Tanah Luas', 'Hagu'),
('Tanah Luas', 'Teupin Mee'),
('Tanah Luas', 'Plu Pakam'),
('Tanah Luas', 'Blang Pie'),
('Tanah Luas', 'Punti Seuleumak Barat'),
('Tanah Luas', 'Serba Jaman Tunong'),
('Tanah Luas', 'Leuhong'),
('Tanah Luas', 'Blang'),
('Tanah Luas', 'Tanjong Mesjid'),
('Tanah Luas', 'Serba Jaman Baroh'),
('Tanah Luas', 'Cot Barat'),
('Tanah Luas', 'Matang Baloy'),
('Tanah Luas', 'Buket Makarti'),

('Tanah Pasir', 'Alue'),
('Tanah Pasir', 'Mee Matang Panyang'),
('Tanah Pasir', 'Blang'),
('Tanah Pasir', 'Paloh'),
('Tanah Pasir', 'Keude Matang Payang'),
('Tanah Pasir', 'Gampong Pande'),
('Tanah Pasir', 'Matang Ranup Laseh'),
('Tanah Pasir', 'Cangguek'),
('Tanah Pasir', 'Kumbang'),
('Tanah Pasir', 'Prie'),
('Tanah Pasir', 'Keutapang'),
('Tanah Pasir', 'Keude Jrat Manyang'),
('Tanah Pasir', 'Teupin Gapeuh'),
('Tanah Pasir', 'Cibrek'),
('Tanah Pasir', 'Me Merbo'),
('Tanah Pasir', 'Ulee Tanoh'),
('Tanah Pasir', 'Matang Janeng'),
('Tanah Pasir', 'Kuala Keureutou Barat'),

('ambo Aye', 'Teupin Gajah'),
('ambo Aye', 'Geulumpang Umpung Unou'),
('ambo Aye', 'Ranto Panyang'),
('ambo Aye', 'Seuneubok Doe'),
('ambo Aye', 'Meunasah Geudong'),
('ambo Aye', 'Meunasah Merbo'),
('ambo Aye', 'Tanjong Meunye'),
('ambo Aye', 'Matang Jurong'),
('ambo Aye', 'Tanjong Dalam Utara'),
